Strain_Name,Genotype,Identifier,Source,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction,SKAT_Rank_Percentile
RB1624,Y57G11C.20(ok1997) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00032318#03--10,Caenorhabditis Genetics Center,0.213498208779249,0.614865451388889,0.75
RB1699,Y38C9A.1(ok2118) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00032392#03--10,Caenorhabditis Genetics Center,0.0103305785123967,0.631032986111111,20.17
RB1723,C27H2.2(ok2191) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00032415#03--10,Caenorhabditis Genetics Center,0.0516911974620636,0.504645593869732,8.06
RB1745,clec-66(ok2230) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00032436#03--10,Caenorhabditis Genetics Center,0.185976686683151,0.728983918128655,0.27
RB1747,R10E11.3(ok2232) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00032438#03--10,Caenorhabditis Genetics Center,0.234637452296355,0.515425925925926,12.32
RB1771,Y52D3.1(ok2275) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00032462#03--10,Caenorhabditis Genetics Center,0.186034235728829,0.396410736579276,12.91
RB1775,strd-1(ok2283) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00032466#03--10,Caenorhabditis Genetics Center,0.0426844974974055,0.499537037037037,12.91
RB1777,F45E4.3(ok2285) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00032468#03--10,Caenorhabditis Genetics Center,0.151492742096769,0.70849358974359,49.51
RB1982,vit-1(ok2616) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00032666#03--10,Caenorhabditis Genetics Center,0.0253378378378378,0.552647569444444,1.41
RB2016,gfi-1(ok2669) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00032700#03--10,Caenorhabditis Genetics Center,0.0498761217588487,0.678015350877193,0.05
RB2206,T25D3.3(ok2986) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00032887#03--10,Caenorhabditis Genetics Center,0.0574324324324324,0.618501984126984,1.04
RB2371,nhl-3(ok3223) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033047#03--10,Caenorhabditis Genetics Center,0.0727825140576818,0.675143678160919,0.95
RB2372,K06A1.5(ok3224) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033048#03--10,Caenorhabditis Genetics Center,0.0944391179290508,0.611607142857143,5.51
RB2456,grd-7(ok3395) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00033131#03--10,Caenorhabditis Genetics Center,0.310273618998451,0.72008547008547,0.71
RB2501,ZK858.6(ok3464) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00033176#03--10,Caenorhabditis Genetics Center,0.22719363658961,0.577199074074074,1.35
RB2533,F49B2.3(ok3512) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00033208#03--10,Caenorhabditis Genetics Center,0.0735979979524514,0.436240583804143,0.02
RB2535,K10H10.2(ok3516) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033210#03--10,Caenorhabditis Genetics Center,0.12751677852349,0.558055555555556,1.68
RB2561,F42H10.7(ok3569) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00033236#03--10,Caenorhabditis Genetics Center,0.224242424242424,0.753842592592593,15.29
