Strain_Name,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction
AA411,0.0497104247104247,0.611607142857143
AR10,0.0715562056415976,0.616430260047281
AR11,0.0777071102413568,0.611342592592593
AR4,0.197612041571773,0.678729423868313
CB1126,0.147041502291112,0.685833333333333
CB6614,0.118974469435879,0.798017939814815
CF367,0.169426779720897,0.578530092592592
CFY13,0.042994966442953,0.574045138888889
CHS1198,0.0304054054054054,0.593287037037037
CZ26389,0.087248322147651,0.620920138888889
DA467,0.180766456773168,0.585565476190476
DA601,0.149888143176734,0.701388888888889
DA792,0.297739824990461,0.645785440613027
DA997,0.146430750457596,0.613888888888889
ET137,0,0.567512077294686
EU1135,0.0574324324324324,0.538690476190476
EU640,0.100225225225225,0.62787037037037
FX1053,0.109619686800895,0.599722222222222
FX627,0.0603603603603604,0.624398148148148
HY601,0.0328185328185328,0.603422619047619
IG544,0.133271202236719,0.657112068965517
IK581,0.0780964002440512,0.55077861952862
IK777,0.0750908410033762,0.778965053763441
JT47,0.0728403710352333,0.889750957854406
KG1278,0.201342281879195,0.659053497942387
MT1083,0.0629522139589254,0.927520576131687
MT2840,0.0352348993288591,0.602517361111111
NB105,0.00213544844417328,0.547979797979798
OT136,0.160544217687075,0.59212962962963
PS9380,0.0276446893549416,0.633596743295019
PS9381,0.0443784388415261,0.555949074074074
PS9993,0.0627413127413127,0.548611111111111
RB1002,0.0293624161073825,0.562456597222222
RB1081,0.136744966442953,0.588498263888889
RB1102,0.0578859060402684,0.592476851851852
RB1104,0.105076313130004,0.514414682539682
RB1128,0.00713087248322148,0.60546875
RB1187,0.13963963963964,0.662731481481481
RB1265,0.0779220779220779,0.60843253968254
RB1624,0.213498208779249,0.614865451388889
RB1699,0.0103305785123967,0.631032986111111
RB1723,0.0516911974620636,0.504645593869732
RB1745,0.185976686683151,0.728983918128655
RB1747,0.234637452296355,0.515425925925926
RB1771,0.186034235728829,0.396410736579276
RB1775,0.0426844974974055,0.499537037037037
RB1777,0.151492742096769,0.70849358974359
RB1982,0.0253378378378378,0.552647569444444
RB2016,0.0498761217588487,0.678015350877193
RB2206,0.0574324324324324,0.618501984126984
RB2371,0.0727825140576818,0.675143678160919
RB2372,0.0944391179290508,0.611607142857143
RB2456,0.310273618998451,0.72008547008547
RB2501,0.22719363658961,0.577199074074074
RB2533,0.0735979979524514,0.436240583804143
RB2535,0.12751677852349,0.558055555555556
RB2561,0.224242424242424,0.753842592592593
RB2572,0.0771920387305003,0.582532051282051
RB2591,0.0879594439343682,0.404054659498208
RB684,0.299227799227799,0.647172619047619
RB709,0.0511744966442953,0.555338541666667
RB778,0.073620664345579,0.692236733001658
RB830,0.0586129753914989,0.572916666666667
RB899,0.0702452920518714,0.690812841530055
RB956,0.0520134228187919,0.571571180555555
RM2221,0.0849194832416309,0.855324074074074
SV1005,0.026006711409396,0.556987847222222
UV21,0.0556569343065693,0.613888888888889
UV26,0.0321381600578681,0.612962962962963
VC1099,0.159043659043659,0.64059829059829
VC1293,0.0452290633206887,0.568900966183575
VC16,0.0656459731543624,0.640559895833333
VC1715,0.122302293948888,0.633760683760684
VC1977,0.0674058943682521,0.576932367149758
VC1995,0.0884228187919463,0.5971875
VC2138,0.0477171260890681,0.506272401433692
VC2149,0.049268018018018,0.608535879629629
VC2196,0.0563857398462529,0.664565527065527
VC2245,0.0668792954027853,0.480462962962963
VC2300,0.0725225225225225,0.58412037037037
VC2559,0.155620805369128,0.683463541666667
VC2725,0.180495005535505,0.634458812260536
VC3112,0.00713087248322148,0.600260416666667
VC320,0.348799296785874,0.631185699588477
VC356,0.0587318087318087,0.560897435897436
VC364,0.12572706935123,0.561574074074074
VC387,0.117559292932427,0.739761396011396
VC475,0.0465604026845638,0.619270833333333
VC596,0.136247657053026,0.695648148148148
VC621,0.11025886864813,0.598462301587302
VC631,0.116961083187539,0.672267025089606
VC746,0,0.591944444444444
VC876,0.0586129753914989,0.563564814814815
VC983,0.0725826497638578,0.528343621399177
tm10810,0.0198198198198198,0.58087962962963
tm10863,0.0989542687685344,0.603343023255814
tm10921,0.11534749034749,0.422619047619048
tm10937,0.0369127516778523,0.569460978835979
tm12611,0.121621621621622,0.604296875
tm12674,0.0242643262777491,0.596367521367521
tm2516,0.450591216216216,0.867317708333333
tm3221,0.191754554170662,0.654662698412698
tm3373,0.098274209012464,0.603918650793651
tm4050,0.121700223713647,0.639537037037037
tm5036,0.105855855855856,0.601388888888889
