StrainName,Genotype,Identifier,Source
RB1775,strd-1(ok2283) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00032466#03--10,Caenorhabditis Genetics Center
RB1777,F45E4.3(ok2285) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00032468#03--10,Caenorhabditis Genetics Center
RB1982,vit-1(ok2616) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00032666#03--10,Caenorhabditis Genetics Center
RB2016,gfi-1(ok2669) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00032700#03--10,Caenorhabditis Genetics Center
RB2206,T25D3.3(ok2986) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00032887#03--10,Caenorhabditis Genetics Center
RB2371,nhl-3(ok3223) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033047#03--10,Caenorhabditis Genetics Center
RB2372,K06A1.5(ok3224) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033048#03--10,Caenorhabditis Genetics Center
RB2456,grd-7(ok3395) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00033131#03--10,Caenorhabditis Genetics Center
RB2501,ZK858.6(ok3464) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00033176#03--10,Caenorhabditis Genetics Center
RB2533,F49B2.3(ok3512) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00033208#03--10,Caenorhabditis Genetics Center
RB2535,K10H10.2(ok3516) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033210#03--10,Caenorhabditis Genetics Center
RB2561,F42H10.7(ok3569) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00033236#03--10,Caenorhabditis Genetics Center
RB2572,Y38F1A.6(ok3580) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033247#03--10,Caenorhabditis Genetics Center
RB2591,C27D6.11(ok3612) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033266#03--10,Caenorhabditis Genetics Center
RB684,tank-1(ok446) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00031422#03--10,Caenorhabditis Genetics Center
RB709,snf-7(ok482) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031444#03--10,Caenorhabditis Genetics Center
RB778,F32E10.7(ok560) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00031491#03--10,Caenorhabditis Genetics Center
RB830,epac-1(ok655) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031543#03--10,Caenorhabditis Genetics Center
RB899,C17G1.7(ok762) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00031611#03--10,Caenorhabditis Genetics Center
RB956,F48E8.7(ok851) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031667#03--10,Caenorhabditis Genetics Center
RM2221,egl-8(md1971) V. Outcrossed x2,https://wormbase.org/species/c_elegans/strain/WBStrain00033391#03--10,Caenorhabditis Genetics Center
SV1005,bmk-1(ok391) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00034607#03--10,Caenorhabditis Genetics Center
tm10810,haf-2(tm10810) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10810,National BioResource Project (Japan)
tm10863,F49B2.3(tm10863) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10863,National BioResource Project (Japan)
tm10921,Y37A1A.4/C27H2.2 (tm10921) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10921,National BioResource Project (Japan)
tm10937,F49B2.3(tm10937) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm10937,National BioResource Project (Japan)
tm12611,nhl-3(tm12611) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm12611,National BioResource Project (Japan)
tm12674,crmb-1(tm12674) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm12674,National BioResource Project (Japan)
tm2516,nhl-3(tm2516) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm2516,National BioResource Project (Japan)
tm3221,F22G12.4(tm3221) I.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm3221,National BioResource Project (Japan)
tm3373,K09A9.1/tmC24(tm3373) X.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm3373,National BioResource Project (Japan)
tm4050,C27D6.11(tm4050) II.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm4050,National BioResource Project (Japan)
tm5036,che-6(tm5036) IV.,https://shigen.nig.ac.jp/c.elegans/DetailsSearch?allele=tm5036,National BioResource Project (Japan)
UV21,him-19(jf6) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035461#03--10,Caenorhabditis Genetics Center
UV26,him-19(tm3538) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035462#03--10,Caenorhabditis Genetics Center
VC1099,hsp-4(gk514) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036323#03--10,Caenorhabditis Genetics Center
VC1293,F45C12.3(gk583) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036486#03--10,Caenorhabditis Genetics Center
VC16,haf-2(gk13) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00035486#03--10,Caenorhabditis Genetics Center
VC1715,crn-3(ok2269) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036816#03--10,Caenorhabditis Genetics Center
VC1977,F35D2.4(ok2142) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00037005#03--10,Caenorhabditis Genetics Center
VC1995,T12A2.15(ok2509) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00037019#03--10,Caenorhabditis Genetics Center
VC2138,kcnl-2(ok2818) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00037105#03--10,Caenorhabditis Genetics Center
VC2149,T12G3.1(ok2869) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037114#03--10,Caenorhabditis Genetics Center
VC2196,T12G3.1(ok2892) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037157#03--10,Caenorhabditis Genetics Center
VC2245,ZK1236.1(ok3023) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00037198#03--10,Caenorhabditis Genetics Center
